"Date","id","County","Overall","Incidence_vs_Active","Deaths","Recovered","Active","Quarantine_inbound","Quarantine_contact","Contracted.health.services","Acvtive_DPS","Acvtive_ZOL","Work","Academy","School","Dormitories","Weddings","Hotels","Public_Transport","Others"
2020-10-13,11,"Nowotarski",1403,"73,16/32,02",24,761,614,2,411,90,25,31,84,9,0,0,0,0,1,750
2020-10-13,12,"Olkuski",347,"31,20/15,20",3,175,169,4,16,9,4,1,65,18,0,0,2,0,0,228
2020-10-13,13,"Oswiecimski",654,"42,61/14,07",13,425,216,2,221,55,26,4,0,0,0,0,0,0,0,346
2020-10-13,14,"Proszowicki",115,"26,61/10,64",3,66,46,2,8,10,27,0,3,0,0,0,0,0,0,65
2020-10-13,15,"Suski",674,"80,02/32,17",8,394,271,2,184,13,69,7,71,23,0,0,19,0,0,286
2020-10-13,16,"Tarnowski",439,"21,79",9,303,126,6,198,14,56,0,17,0,0,0,0,0,0,148
2020-10-13,17,"Tatrzanski",680,"99,89/36,14",11,420,246,2,181,81,41,0,43,50,0,0,0,0,0,282
2020-10-13,18,"Wadowicki",688,"43,00/20,00",11,356,320,0,226,56,54,0,25,23,0,0,0,0,0,304
2020-10-13,19,"Wielicki",537,"41,58/16,26",8,317,210,1,254,11,0,0,7,2,0,0,2,0,0,260
2020-10-13,20,"M.kraków",4187,"53,74/17,89",41,2751,1394,33,500,226,90,17,58,13,0,36,34,32,0,3148
2020-10-13,21,"M.nowysacz",680,"81,15/14,92",18,537,125,3,369,43,106,0,129,12,0,0,7,1,0,10
2020-10-13,22,"M.tarnów",211,"19,45/10,14",1,100,110,8,53,17,0,0,9,0,0,0,0,0,0,124
2020-10-14,1,"Bochenski",629,"58,86/13,10",31,450,140,3,145,33,240,0,13,23,0,0,31,0,0,141
2020-10-14,2,"Brzeski",257,"27,57",3,164,88,3,37,66,13,2,2,0,0,0,0,21,0,113
2020-10-14,3,"Chrzanowski",325,"26,10/15,82",8,120,197,1,40,26,25,2,16,4,0,0,8,0,0,203
2020-10-14,4,"Dabrowski",113,"19,10",4,63,46,2,51,6,0,0,2,0,0,0,0,0,0,52
2020-10-14,5,"Gorlicki",311,"28,56/12,58",3,168,137,2,99,44,0,0,0,10,0,0,20,0,0,136
2020-10-14,6,"Krakowski",1110,"39,75/13,07",7,738,365,6,167,45,15,0,13,4,0,0,2,4,0,854
2020-10-14,7,"Limanowski",1121,"85,08/24,13",13,789,318,0,375,78,39,0,0,12,0,0,0,0,1,616
2020-10-14,8,"Miechowski",261,"53,46/34,41",1,92,168,0,49,0,57,0,16,0,0,0,0,0,0,139
